@relation coletas

@attribute lotacao numeric
@attribute total_segundos numeric
@attribute temp_aparente numeric
@attribute precipitacao numeric
@attribute class {vazio,normal,lotado,superlotado}

@data
15,38800,29.43,0,normal
15,38801,29.43,0,normal
15,38802,29.43,0,normal
14,38803,29.43,0,normal
14,38804,29.43,0,normal
14,38805,29.43,0,normal
15,38806,29.43,0,normal
16,38807,29.43,0,normal
15,38808,29.43,0,normal
16,38809,29.43,0,normal
18,38810,29.43,0,normal
19,38811,29.43,0,normal
18,38812,29.43,0,normal
19,38813,29.43,0,normal
19,38814,29.43,0,normal
19,38815,29.43,0,normal
20,38816,29.43,0,normal
22,38817,29.43,0,normal
23,38818,29.43,0,normal
22,38819,29.43,0,normal
20,38820,29.43,0,vazio
23,38821,29.43,0,vazio
23,38822,29.43,0,vazio
24,38823,29.43,0,vazio
25,38824,29.43,0,vazio
26,38825,29.43,0,vazio
27,38826,29.43,0,vazio
25,38827,29.43,0,vazio
24,38828,29.43,0,vazio
25,38829,29.43,0,vazio
25,38830,29.43,0,vazio
21,38831,29.43,0,vazio
21,38832,29.43,0,vazio
22,38833,29.43,0,vazio
21,38834,29.43,0,vazio
26,38835,29.43,0,vazio
24,38836,29.43,0,vazio
24,38837,29.43,0,vazio
24,38838,29.43,0,vazio
24,38839,29.43,0,vazio
24,38840,29.43,0,vazio
24,38841,29.43,0,vazio
24,38842,29.43,0,vazio
22,38843,29.43,0,vazio
23,38844,29.43,0,vazio
17,38845,29.43,0,vazio
17,38846,29.43,0,vazio
16,38847,29.43,0,vazio
16,38848,29.43,0,vazio
17,38849,29.43,0,vazio
18,38850,29.43,0,vazio
19,38851,29.43,0,vazio
19,38852,29.43,0,vazio
18,38853,29.43,0,vazio
17,38854,29.43,0,vazio
17,38855,29.43,0,vazio
17,38856,29.43,0,vazio
17,38857,29.43,0,vazio
18,38858,29.43,0,vazio
17,38859,29.43,0,vazio
16,38860,29.43,0,vazio
15,38861,29.43,0,vazio
15,38862,29.43,0,vazio
14,38863,29.43,0,vazio
14,38864,29.43,0,vazio
14,38865,29.43,0,vazio
15,38866,29.43,0,vazio
15,38867,29.43,0,vazio
14,38868,29.43,0,vazio
15,38869,29.43,0,vazio
15,38870,29.43,0,vazio
18,38871,29.43,0,vazio
18,38872,29.43,0,vazio
18,38873,29.43,0,vazio
18,38874,29.43,0,vazio
17,38875,29.43,0,vazio
17,38876,29.43,0,vazio
17,38877,29.43,0,vazio
21,38878,29.43,0,vazio
20,38879,29.43,0,vazio
20,38880,29.43,0,vazio
16,38881,29.43,0,vazio
17,38882,29.43,0,vazio
17,38883,29.43,0,vazio
16,38884,29.43,0,vazio
16,38885,29.43,0,vazio
16,38886,29.43,0,vazio
17,38887,29.43,0,vazio
14,38888,29.43,0,vazio
13,38889,29.43,0,vazio
13,38890,29.43,0,vazio
14,38891,29.43,0,vazio
13,38892,29.43,0,vazio
17,38893,29.43,0,vazio
17,38894,29.43,0,vazio
17,38895,29.43,0,vazio
17,38896,29.43,0,vazio
16,38897,29.43,0,vazio
15,38898,29.43,0,vazio
15,38899,29.43,0,vazio
15,38900,29.43,0,vazio
15,38901,29.43,0,vazio
15,38902,29.43,0,vazio
11,38903,29.43,0,vazio
11,38904,29.43,0,vazio
10,38905,29.43,0,vazio
10,38906,29.43,0,vazio
13,38907,29.43,0,vazio
13,38908,29.43,0,vazio
13,38909,29.43,0,vazio
13,38910,29.43,0,vazio
13,38911,29.43,0,vazio
13,38912,29.43,0,vazio
13,38913,29.43,0,vazio
13,38914,29.43,0,vazio
13,38915,29.43,0,vazio
13,38916,29.43,0,vazio
13,38917,29.44,0,vazio
14,38918,29.44,0,vazio
15,38919,29.44,0,vazio
15,38920,29.44,0,vazio
15,38921,29.44,0,vazio
16,38922,29.44,0,vazio
21,38923,29.44,0,vazio
21,38924,29.44,0,vazio
21,38925,29.44,0,vazio
22,38926,29.44,0,vazio
21,38927,29.44,0,vazio
21,38928,29.44,0,vazio
20,38929,29.44,0,vazio
20,38930,29.44,0,vazio
20,38931,29.44,0,vazio
20,38932,29.44,0,vazio
16,38933,29.44,0,vazio
17,38934,29.44,0,vazio
17,38935,29.44,0,vazio
16,38936,29.44,0,vazio
16,38937,29.44,0,vazio
16,38938,29.44,0,vazio
16,38939,29.44,0,vazio
14,38940,29.44,0,vazio
12,38941,29.44,0,vazio
11,38942,29.44,0,vazio
12,38943,29.44,0,vazio
12,38944,29.44,0,vazio
12,38945,29.44,0,vazio
13,38946,29.44,0,vazio
12,38947,29.44,0,vazio
11,38948,29.44,0,vazio
11,38949,29.44,0,vazio
12,38950,29.44,0,vazio
13,38951,29.44,0,vazio
13,38952,29.44,0,vazio
14,38953,29.44,0,vazio
15,38954,29.44,0,vazio
17,38955,29.44,0,vazio
16,38956,29.44,0,vazio
16,38957,29.44,0,vazio
16,38958,29.44,0,vazio
16,38959,29.44,0,vazio
14,38960,29.44,0,vazio
13,38961,29.44,0,vazio
14,38962,29.44,0,vazio
12,38963,29.44,0,vazio
11,38964,29.44,0,vazio
10,38965,29.44,0,vazio
11,38966,29.44,0,vazio
9,38967,29.44,0,vazio
10,38968,29.44,0,vazio
10,38969,29.44,0,vazio
11,38970,29.44,0,vazio
11,38971,29.44,0,vazio
11,38972,29.44,0,vazio
11,38973,29.44,0,vazio
12,38974,29.44,0,vazio
12,38975,29.44,0,vazio
12,38976,29.44,0,vazio
10,38977,29.44,0,vazio
9,38978,29.44,0,vazio
9,38979,29.44,0,vazio
9,38980,29.44,0,vazio
11,38981,29.44,0,vazio
10,38982,29.44,0,vazio
10,38983,29.44,0,vazio
12,38984,29.44,0,vazio
12,38985,29.44,0,vazio
13,38986,29.44,0,vazio
13,38987,29.44,0,vazio
11,38988,29.44,0,vazio
12,38989,29.44,0,vazio
11,38990,29.44,0,vazio
11,38991,29.44,0,vazio
11,38992,29.44,0,vazio
12,38993,29.44,0,vazio
12,38994,29.44,0,vazio
11,38995,29.44,0,vazio
10,38996,29.44,0,vazio
11,38997,29.44,0,vazio
11,38998,29.44,0,vazio
11,38999,29.44,0,vazio
12,39000,29.44,0,vazio
12,39001,29.44,0,vazio
14,39002,29.44,0,vazio
13,39003,29.44,0,vazio
13,39004,29.44,0,vazio
11,39005,29.44,0,vazio
12,39006,29.44,0,vazio
11,39007,29.44,0,vazio
11,39008,29.44,0,vazio
11,39009,29.44,0,vazio
9,39010,29.44,0,vazio
14,39011,29.44,0,vazio
12,39012,29.44,0,vazio
12,39013,29.44,0,vazio
12,39014,29.44,0,vazio
13,39015,29.44,0,vazio
12,39016,29.44,0,vazio
13,39017,29.44,0,vazio
15,39018,29.44,0,vazio
16,39019,29.44,0,vazio
16,39020,29.44,0,vazio
11,39021,29.44,0,vazio
11,39022,29.44,0,vazio
13,39023,29.44,0,vazio
13,39024,29.44,0,vazio
15,39025,29.44,0,vazio
15,39026,29.44,0,vazio
14,39027,29.44,0,vazio
12,39028,29.44,0,vazio
11,39029,29.44,0,vazio
10,39030,29.44,0,vazio
10,39031,29.44,0,vazio
10,39032,29.44,0,vazio
8,39033,29.44,0,vazio
8,39034,29.44,0,vazio
6,39035,29.44,0,vazio
5,39036,29.44,0,vazio
5,39037,29.46,0,vazio
5,39038,29.46,0,vazio
5,39039,29.46,0,vazio
5,39040,29.46,0,vazio
5,39041,29.46,0,vazio
5,39042,29.46,0,vazio
5,39043,29.46,0,vazio
5,39044,29.46,0,vazio
5,39045,29.46,0,vazio
5,39046,29.46,0,vazio
5,39047,29.46,0,vazio
5,39048,29.46,0,vazio
5,39049,29.46,0,vazio
5,39050,29.46,0,vazio
5,39051,29.46,0,vazio
6,39052,29.46,0,vazio
7,39053,29.46,0,vazio
7,39054,29.46,0,vazio
7,39055,29.46,0,vazio
7,39056,29.46,0,vazio
7,39057,29.46,0,vazio
7,39058,29.46,0,vazio
7,39059,29.46,0,vazio
11,39060,29.46,0,vazio
11,39061,29.46,0,vazio
11,39062,29.46,0,vazio
11,39063,29.46,0,vazio
11,39064,29.46,0,vazio
11,39065,29.46,0,vazio
11,39066,29.46,0,vazio
11,39067,29.46,0,vazio
11,39068,29.46,0,vazio
11,39069,29.46,0,vazio
7,39070,29.46,0,vazio
7,39071,29.46,0,vazio
6,39072,29.46,0,vazio
10,39073,29.46,0,vazio
11,39074,29.46,0,vazio
12,39075,29.46,0,vazio
12,39076,29.46,0,vazio
12,39077,29.46,0,vazio
12,39078,29.46,0,vazio
13,39079,29.46,0,vazio
13,39080,29.46,0,vazio
13,39081,29.46,0,vazio
13,39082,29.46,0,vazio
9,39083,29.46,0,vazio
8,39084,29.46,0,vazio
8,39085,29.46,0,vazio
8,39086,29.46,0,vazio
8,39087,29.46,0,vazio
8,39088,29.46,0,vazio
7,39089,29.46,0,vazio
8,39090,29.46,0,vazio
8,39091,29.46,0,vazio
10,39092,29.46,0,vazio
10,39093,29.46,0,vazio
10,39094,29.46,0,vazio
10,39095,29.46,0,vazio
11,39096,29.46,0,vazio
12,39097,29.46,0,vazio
12,39098,29.46,0,vazio
12,39099,29.46,0,vazio
11,39100,29.46,0,vazio
12,39101,29.46,0,vazio
10,39102,29.46,0,vazio
11,39103,29.46,0,vazio
11,39104,29.46,0,vazio
12,39105,29.46,0,vazio
14,39106,29.46,0,vazio
15,39107,29.46,0,vazio
15,39108,29.46,0,vazio
16,39109,29.46,0,vazio
16,39110,29.46,0,vazio
15,39111,29.46,0,vazio
15,39112,29.46,0,vazio
15,39113,29.46,0,vazio
17,39114,29.46,0,vazio
16,39115,29.46,0,vazio
13,39116,29.46,0,vazio
11,39117,29.46,0,vazio
11,39118,29.46,0,vazio
10,39119,29.46,0,vazio
10,39120,29.46,0,vazio
10,39121,29.46,0,vazio
11,39122,29.46,0,vazio
13,39123,29.46,0,vazio
11,39124,29.46,0,vazio
12,39125,29.46,0,vazio
12,39126,29.46,0,vazio
12,39127,29.46,0,vazio
13,39128,29.46,0,vazio
14,39129,29.46,0,vazio
14,39130,29.46,0,vazio
15,39131,29.46,0,vazio
16,39132,29.46,0,vazio
15,39133,29.46,0,vazio
16,39134,29.46,0,vazio
18,39135,29.46,0,vazio
17,39136,29.46,0,vazio
17,39137,29.46,0,vazio
15,39138,29.46,0,vazio
13,39139,29.46,0,vazio
14,39140,29.46,0,vazio
14,39141,29.46,0,vazio
13,39142,29.46,0,vazio
14,39143,29.46,0,vazio
14,39144,29.46,0,vazio
11,39145,29.46,0,vazio
11,39146,29.46,0,vazio
11,39147,29.46,0,vazio
