segundo,calculo,timestamp
309,12,1529403049
310,12,1529403050
311,12,1529403051
312,12,1529403052
313,13,1529403053
314,13,1529403054
315,13,1529403055
316,13,1529403056
317,14,1529403057
318,14,1529403058
319,15,1529403059
320,15,1529403060
321,15,1529403061
322,15,1529403062
323,15,1529403063
324,15,1529403064
325,16,1529403065
326,16,1529403066
327,14,1529403067
328,14,1529403068
329,14,1529403069
330,14,1529403070
331,13,1529403071
332,13,1529403072
333,14,1529403073
334,15,1529403074
335,14,1529403075
336,14,1529403076
337,15,1529403077
338,16,1529403078
339,16,1529403079
340,16,1529403080
341,16,1529403081
342,17,1529403082
343,17,1529403083
344,18,1529403084
345,17,1529403085
346,16,1529403086
347,16,1529403087
348,16,1529403088
349,16,1529403089
350,16,1529403090
351,16,1529403091
352,15,1529403092
353,15,1529403093
354,15,1529403094
355,15,1529403095
356,15,1529403096
357,14,1529403097
358,14,1529403098
359,14,1529403099
360,14,1529403100
361,14,1529403101
362,18,1529403102
363,18,1529403103
364,18,1529403104
365,20,1529403105
366,20,1529403106
367,19,1529403107
368,19,1529403108
369,19,1529403109
370,19,1529403110
371,19,1529403111
372,16,1529403112
373,16,1529403113
374,16,1529403114
375,11,1529403115
376,11,1529403116
377,12,1529403117
378,12,1529403118
379,12,1529403119
380,14,1529403120
381,20,1529403121
382,20,1529403122
383,20,1529403123
384,20,1529403124
385,20,1529403125
386,20,1529403126
387,19,1529403127
388,19,1529403128
389,25,1529403129
390,23,1529403130
391,18,1529403131
392,18,1529403132
393,19,1529403133
394,19,1529403134
395,19,1529403135
396,19,1529403136
397,19,1529403137
398,19,1529403138
399,12,1529403139
400,12,1529403140
401,12,1529403141
402,12,1529403142
403,12,1529403143
404,14,1529403144
405,16,1529403145
406,16,1529403146
407,18,1529403147
408,19,1529403148
409,20,1529403149
410,27,1529403150
411,27,1529403151
412,27,1529403152
413,27,1529403153
414,25,1529403154
415,24,1529403155
416,24,1529403156
417,24,1529403157
418,24,1529403158
419,25,1529403159
420,15,1529403160
421,16,1529403161
422,17,1529403162
423,17,1529403163
424,17,1529403164
425,17,1529403165
426,17,1529403166
427,17,1529403167
428,18,1529403168
429,17,1529403169
430,16,1529403170
431,15,1529403171
432,18,1529403172
433,18,1529403173
434,18,1529403174
435,16,1529403175
436,16,1529403176
437,17,1529403177
438,13,1529403178
439,13,1529403179
440,14,1529403180
441,15,1529403181
442,11,1529403182
443,11,1529403183
444,11,1529403184
445,11,1529403185
446,11,1529403186
447,11,1529403187
448,11,1529403188
449,12,1529403189
450,11,1529403190
451,12,1529403191
452,13,1529403192
453,12,1529403193
454,12,1529403194
455,13,1529403195
456,13,1529403196
457,12,1529403197
458,12,1529403198
459,10,1529403199
460,11,1529403200
461,11,1529403201
462,11,1529403202
463,12,1529403203
464,12,1529403204
465,10,1529403205
466,10,1529403206
467,10,1529403207
468,10,1529403208
469,11,1529403209
470,10,1529403210
471,9,1529403211
472,9,1529403212
473,9,1529403213
474,8,1529403214
475,8,1529403215
476,9,1529403216
477,8,1529403217
478,8,1529403218
479,8,1529403219
480,9,1529403220
481,12,1529403221
482,12,1529403222
483,12,1529403223
484,12,1529403224
485,12,1529403225
486,12,1529403226
487,13,1529403227
488,13,1529403228
489,12,1529403229
490,11,1529403230
491,7,1529403231
492,7,1529403232
493,7,1529403233
494,7,1529403234
495,7,1529403235
496,7,1529403236
497,6,1529403237
498,5,1529403238
499,5,1529403239
500,5,1529403240
501,5,1529403241
502,4,1529403242
503,4,1529403243
504,4,1529403244
505,4,1529403245
506,4,1529403246
507,5,1529403247
508,4,1529403248
509,4,1529403249
510,4,1529403250
511,4,1529403251
512,4,1529403252
513,4,1529403253
514,4,1529403254
515,4,1529403255
516,3,1529403256
517,3,1529403257
518,3,1529403258
519,3,1529403259
520,3,1529403260
521,3,1529403261
522,3,1529403262
523,3,1529403263
524,3,1529403264
525,3,1529403265
526,3,1529403266
527,2,1529403267
528,2,1529403268
529,2,1529403269
530,2,1529403270
531,2,1529403271
532,1,1529403272
533,1,1529403273
534,2,1529403274
535,2,1529403275
536,2,1529403276
537,2,1529403277
538,2,1529403278
539,2,1529403279
540,2,1529403280
541,2,1529403281
542,2,1529403282
543,2,1529403283
544,1,1529403284
545,1,1529403285
546,1,1529403286
547,1,1529403287
548,1,1529403288
549,1,1529403289
550,1,1529403290
551,1,1529403291
552,1,1529403292
553,1,1529403293
554,1,1529403294
555,1,1529403295
556,1,1529403296
557,1,1529403297
558,1,1529403298
559,2,1529403299
560,3,1529403300
561,3,1529403301
562,3,1529403302
563,4,1529403303
564,5,1529403304
565,6,1529403305
566,6,1529403306
567,6,1529403307
568,6,1529403308
569,5,1529403309
570,5,1529403310
571,6,1529403311
572,6,1529403312
573,6,1529403313
574,5,1529403314
575,6,1529403315
576,7,1529403316
577,7,1529403317
578,7,1529403318
579,7,1529403319
580,6,1529403320
581,6,1529403321
582,6,1529403322
583,6,1529403323
584,6,1529403324
585,4,1529403325
586,3,1529403326
587,3,1529403327
588,3,1529403328
589,3,1529403329
590,3,1529403330
591,3,1529403331
592,3,1529403332
593,4,1529403333
594,4,1529403334
595,4,1529403335
596,4,1529403336
597,4,1529403337
598,4,1529403338
599,4,1529403339
600,4,1529403340
601,3,1529403341
602,3,1529403342
603,3,1529403343
604,4,1529403344
605,4,1529403345
606,4,1529403346
607,4,1529403347
608,4,1529403348
609,5,1529403349
610,4,1529403350
611,4,1529403351
612,4,1529403352
613,5,1529403353
614,4,1529403354
615,4,1529403355
616,4,1529403356
617,4,1529403357
618,4,1529403358
619,3,1529403359
620,3,1529403360
621,3,1529403361
622,3,1529403362
623,2,1529403363
624,2,1529403364
625,2,1529403365
626,2,1529403366
627,2,1529403367
628,2,1529403368
629,3,1529403369
630,3,1529403370
631,3,1529403371
632,3,1529403372
633,3,1529403373
634,3,1529403374
635,4,1529403375
636,4,1529403376
637,4,1529403377
638,4,1529403378
639,3,1529403379
640,3,1529403380
641,3,1529403381
642,3,1529403382
643,3,1529403383
644,3,1529403384
645,2,1529403385
646,2,1529403386
647,2,1529403387
648,2,1529403388
649,2,1529403389
650,2,1529403390
651,2,1529403391
652,2,1529403392
653,2,1529403393
654,2,1529403394
655,2,1529403395
656,2,1529403396
657,2,1529403397
658,2,1529403398
659,2,1529403399
660,6,1529403400
661,6,1529403401
662,6,1529403402
663,6,1529403403
664,6,1529403404
665,6,1529403405
666,6,1529403406
667,6,1529403407
668,6,1529403408
669,6,1529403409
670,2,1529403410
671,2,1529403411
672,2,1529403412
673,2,1529403413
674,2,1529403414
675,2,1529403415
676,2,1529403416
677,2,1529403417
678,2,1529403418
679,2,1529403419
680,2,1529403420
681,2,1529403421
682,2,1529403422
683,3,1529403423
684,3,1529403424
685,3,1529403425
686,3,1529403426
687,3,1529403427
688,4,1529403428
689,4,1529403429
690,4,1529403430
691,5,1529403431
692,6,1529403432
693,5,1529403433
694,5,1529403434
695,5,1529403435
696,5,1529403436
697,6,1529403437
698,5,1529403438
699,5,1529403439
700,5,1529403440
701,4,1529403441
702,3,1529403442
703,4,1529403443
704,4,1529403444
705,4,1529403445
706,4,1529403446
707,3,1529403447
708,3,1529403448
709,6,1529403449
710,6,1529403450
711,8,1529403451
712,8,1529403452
713,7,1529403453
714,7,1529403454
715,7,1529403455
716,7,1529403456
717,7,1529403457
718,8,1529403458
719,6,1529403459
720,6,1529403460
721,5,1529403461
722,5,1529403462
723,5,1529403463
724,5,1529403464
725,6,1529403465
726,6,1529403466
727,6,1529403467
728,5,1529403468
729,5,1529403469
730,5,1529403470
731,5,1529403471
732,5,1529403472
733,5,1529403473
734,5,1529403474
735,4,1529403475
736,4,1529403476
737,4,1529403477
738,4,1529403478
739,4,1529403479
740,4,1529403480
741,4,1529403481
742,4,1529403482
743,3,1529403483
744,4,1529403484
745,4,1529403485
746,4,1529403486
747,4,1529403487
748,4,1529403488
749,4,1529403489
750,4,1529403490
751,4,1529403491
752,4,1529403492
753,4,1529403493
754,3,1529403494
