segundo,calculo,timestamp
0,0,1530193718
1,0,1530193719
2,0,1530193720
3,0,1530193721
4,0,1530193722
5,0,1530193723
6,0,1530193724
7,0,1530193725
8,0,1530193726
9,0,1530193727
10,0,1530193728
11,0,1530193729
12,0,1530193730
13,0,1530193731
14,0,1530193732
15,0,1530193733
16,0,1530193734
17,0,1530193735
18,0,1530193736
19,0,1530193737
20,0,1530193738
21,0,1530193739
22,0,1530193740
23,0,1530193741
24,0,1530193742
25,0,1530193743
26,0,1530193744
27,0,1530193745
28,0,1530193746
29,0,1530193747
30,0,1530193748
31,0,1530193749
32,0,1530193750
33,0,1530193751
34,0,1530193752
35,0,1530193753
36,0,1530193754
37,0,1530193755
38,0,1530193756
39,0,1530193757
40,0,1530193758
41,0,1530193759
42,0,1530193760
43,0,1530193761
44,0,1530193762
45,0,1530193763
46,0,1530193764
47,0,1530193765
48,0,1530193766
49,0,1530193767
50,0,1530193768
51,0,1530193769
52,0,1530193770
53,0,1530193771
54,0,1530193772
55,0,1530193773
56,0,1530193774
57,0,1530193775
58,0,1530193776
59,0,1530193777
60,0,1530193778
61,0,1530193779
62,0,1530193780
63,0,1530193781
64,0,1530193782
65,0,1530193783
66,0,1530193784
67,0,1530193785
68,0,1530193786
69,0,1530193787
70,0,1530193788
71,0,1530193789
72,0,1530193790
73,0,1530193791
74,0,1530193792
75,0,1530193793
76,0,1530193794
77,0,1530193795
78,0,1530193796
79,0,1530193797
80,0,1530193798
81,1,1530193799
82,5,1530193800
83,11,1530193801
84,11,1530193802
85,11,1530193803
86,11,1530193804
87,14,1530193805
88,17,1530193806
89,26,1530193807
90,26,1530193808
91,31,1530193809
92,29,1530193810
93,25,1530193811
94,25,1530193812
95,25,1530193813
96,31,1530193814
97,29,1530193815
98,27,1530193816
99,21,1530193817
100,23,1530193818
101,19,1530193819
102,20,1530193820
103,22,1530193821
104,22,1530193822
105,24,1530193823
106,21,1530193824
107,22,1530193825
108,23,1530193826
109,21,1530193827
110,18,1530193828
111,22,1530193829
112,21,1530193830
113,22,1530193831
114,26,1530193832
115,25,1530193833
116,23,1530193834
117,22,1530193835
118,22,1530193836
119,24,1530193837
120,24,1530193838
121,20,1530193839
122,20,1530193840
123,19,1530193841
124,16,1530193842
125,20,1530193843
126,21,1530193844
127,21,1530193845
128,25,1530193846
129,23,1530193847
130,23,1530193848
