segundo,calculo,timestamp,hora_minuto,valor_real
0,0,1529402740,10:05,35
1,0,1529402741,10:05,35
2,0,1529402742,10:05,35
3,0,1529402743,10:05,35
4,0,1529402744,10:05,35
5,0,1529402745,10:05,35
6,0,1529402746,10:05,35
7,0,1529402747,10:05,35
8,0,1529402748,10:05,35
9,0,1529402749,10:05,35
10,0,1529402750,10:05,35
11,0,1529402751,10:05,35
12,0,1529402752,10:05,35
13,0,1529402753,10:05,35
14,0,1529402754,10:05,35
15,0,1529402755,10:05,35
16,0,1529402756,10:05,35
17,0,1529402757,10:05,35
18,0,1529402758,10:05,35
19,0,1529402759,10:05,35
20,0,1529402760,10:06,35
21,0,1529402761,10:06,35
22,0,1529402762,10:06,35
23,0,1529402763,10:06,35
24,0,1529402764,10:06,35
25,0,1529402765,10:06,35
26,0,1529402766,10:06,35
27,0,1529402767,10:06,35
28,0,1529402768,10:06,35
29,0,1529402769,10:06,35
30,0,1529402770,10:06,35
31,0,1529402771,10:06,35
32,0,1529402772,10:06,35
33,0,1529402773,10:06,35
34,0,1529402774,10:06,35
35,0,1529402775,10:06,35
36,0,1529402776,10:06,35
37,0,1529402777,10:06,35
38,0,1529402778,10:06,35
39,0,1529402779,10:06,35
40,0,1529402780,10:06,35
41,0,1529402781,10:06,35
42,0,1529402782,10:06,35
43,0,1529402783,10:06,35
44,0,1529402784,10:06,35
45,0,1529402785,10:06,35
46,0,1529402786,10:06,35
47,0,1529402787,10:06,35
48,0,1529402788,10:06,35
49,0,1529402789,10:06,35
50,0,1529402790,10:06,35
51,0,1529402791,10:06,35
52,0,1529402792,10:06,35
53,0,1529402793,10:06,35
54,0,1529402794,10:06,35
55,0,1529402795,10:06,35
56,0,1529402796,10:06,35
57,0,1529402797,10:06,35
58,0,1529402798,10:06,35
59,0,1529402799,10:06,35
60,0,1529402800,10:06,35
61,0,1529402801,10:06,35
62,0,1529402802,10:06,35
63,0,1529402803,10:06,35
64,0,1529402804,10:06,35
65,0,1529402805,10:06,35
66,0,1529402806,10:06,35
67,0,1529402807,10:06,35
68,0,1529402808,10:06,35
69,0,1529402809,10:06,35
70,0,1529402810,10:06,35
71,0,1529402811,10:06,35
72,0,1529402812,10:06,35
73,0,1529402813,10:06,35
74,0,1529402814,10:06,35
75,0,1529402815,10:06,35
76,0,1529402816,10:06,35
77,0,1529402817,10:06,35
78,0,1529402818,10:06,35
79,0,1529402819,10:06,35
80,0,1529402820,10:07,35
81,3,1529402821,10:07,35
82,7,1529402822,10:07,35
83,8,1529402823,10:07,35
84,10,1529402824,10:07,35
85,10,1529402825,10:07,35
86,11,1529402826,10:07,35
87,11,1529402827,10:07,35
88,12,1529402828,10:07,35
89,12,1529402829,10:07,35
90,12,1529402830,10:07,35
91,13,1529402831,10:07,35
92,15,1529402832,10:07,35
93,15,1529402833,10:07,35
94,15,1529402834,10:07,35
95,15,1529402835,10:07,35
96,16,1529402836,10:07,35
97,16,1529402837,10:07,35
98,19,1529402838,10:07,35
99,20,1529402839,10:07,35
100,21,1529402840,10:07,35
101,23,1529402841,10:07,35
102,23,1529402842,10:07,35
103,24,1529402843,10:07,35
104,29,1529402844,10:07,35
105,31,1529402845,10:07,35
106,32,1529402846,10:07,35
107,32,1529402847,10:07,35
108,32,1529402848,10:07,35
109,32,1529402849,10:07,35
110,32,1529402850,10:07,35
111,33,1529402851,10:07,35
112,33,1529402852,10:07,35
113,33,1529402853,10:07,35
114,33,1529402854,10:07,35
115,33,1529402855,10:07,35
116,34,1529402856,10:07,35
117,34,1529402857,10:07,35
118,34,1529402858,10:07,35
119,34,1529402859,10:07,35
120,34,1529402860,10:07,35
121,34,1529402861,10:07,35
122,34,1529402862,10:07,35
123,35,1529402863,10:07,35
124,35,1529402864,10:07,35
125,36,1529402865,10:07,35
126,37,1529402866,10:07,35
127,37,1529402867,10:07,35
128,37,1529402868,10:07,35
129,37,1529402869,10:07,35
130,37,1529402870,10:07,35
131,37,1529402871,10:07,35
132,37,1529402872,10:07,35
133,37,1529402873,10:07,35
134,37,1529402874,10:07,35
135,37,1529402875,10:07,35
136,37,1529402876,10:07,35
137,37,1529402877,10:07,35
138,37,1529402878,10:07,35
139,37,1529402879,10:07,35
140,37,1529402880,10:08,35
141,38,1529402881,10:08,35
142,38,1529402882,10:08,35
143,39,1529402883,10:08,35
144,39,1529402884,10:08,35
145,39,1529402885,10:08,35
146,39,1529402886,10:08,35
147,39,1529402887,10:08,35
148,39,1529402888,10:08,35
149,39,1529402889,10:08,35
150,39,1529402890,10:08,35
151,38,1529402891,10:08,35
152,38,1529402892,10:08,35
153,38,1529402893,10:08,35
154,37,1529402894,10:08,35
155,37,1529402895,10:08,35
156,37,1529402896,10:08,35
157,37,1529402897,10:08,35
158,37,1529402898,10:08,35
159,36,1529402899,10:08,35
160,36,1529402900,10:08,35
161,36,1529402901,10:08,35
162,33,1529402902,10:08,35
163,33,1529402903,10:08,35
164,33,1529402904,10:08,35
165,32,1529402905,10:08,35
166,31,1529402906,10:08,35
167,31,1529402907,10:08,35
168,35,1529402908,10:08,35
169,34,1529402909,10:08,35
170,33,1529402910,10:08,35
171,33,1529402911,10:08,35
172,32,1529402912,10:08,35
173,32,1529402913,10:08,35
174,28,1529402914,10:08,35
175,26,1529402915,10:08,35
176,26,1529402916,10:08,35
177,28,1529402917,10:08,35
178,28,1529402918,10:08,35
179,28,1529402919,10:08,35
180,29,1529402920,10:08,35
181,29,1529402921,10:08,35
182,29,1529402922,10:08,35
183,29,1529402923,10:08,35
184,29,1529402924,10:08,35
185,29,1529402925,10:08,35
186,29,1529402926,10:08,35
187,29,1529402927,10:08,35
188,29,1529402928,10:08,35
189,29,1529402929,10:08,35
190,29,1529402930,10:08,35
191,29,1529402931,10:08,35
192,29,1529402932,10:08,35
193,28,1529402933,10:08,35
194,28,1529402934,10:08,35
195,30,1529402935,10:08,35
196,31,1529402936,10:08,35
197,31,1529402937,10:08,35
198,31,1529402938,10:08,35
199,31,1529402939,10:08,35
200,31,1529402940,10:09,30
201,31,1529402941,10:09,30
202,31,1529402942,10:09,30
203,31,1529402943,10:09,30
204,31,1529402944,10:09,30
205,31,1529402945,10:09,30
206,31,1529402946,10:09,30
207,31,1529402947,10:09,30
208,31,1529402948,10:09,30
209,31,1529402949,10:09,30
210,31,1529402950,10:09,30
211,31,1529402951,10:09,30
212,31,1529402952,10:09,30
213,31,1529402953,10:09,30
214,31,1529402954,10:09,30
215,31,1529402955,10:09,30
216,31,1529402956,10:09,30
217,31,1529402957,10:09,30
218,31,1529402958,10:09,30
219,31,1529402959,10:09,30
220,31,1529402960,10:09,30
221,31,1529402961,10:09,30
222,31,1529402962,10:09,30
223,31,1529402963,10:09,30
224,31,1529402964,10:09,30
225,34,1529402965,10:09,30
226,34,1529402966,10:09,30
227,34,1529402967,10:09,30
228,34,1529402968,10:09,30
229,34,1529402969,10:09,30
230,34,1529402970,10:09,30
231,34,1529402971,10:09,30
232,34,1529402972,10:09,30
233,34,1529402973,10:09,30
234,34,1529402974,10:09,30
235,33,1529402975,10:09,30
236,32,1529402976,10:09,30
237,32,1529402977,10:09,30
238,27,1529402978,10:09,30
239,26,1529402979,10:09,30
240,27,1529402980,10:09,30
241,27,1529402981,10:09,30
242,27,1529402982,10:09,30
243,27,1529402983,10:09,30
244,27,1529402984,10:09,30
245,27,1529402985,10:09,30
246,27,1529402986,10:09,30
247,25,1529402987,10:09,30
248,25,1529402988,10:09,30
249,26,1529402989,10:09,30
250,26,1529402990,10:09,30
251,26,1529402991,10:09,30
252,26,1529402992,10:09,30
253,26,1529402993,10:09,30
254,26,1529402994,10:09,30
255,26,1529402995,10:09,30
256,27,1529402996,10:09,30
257,27,1529402997,10:09,30
258,27,1529402998,10:09,30
259,27,1529402999,10:09,30
260,27,1529403000,10:10,31
261,27,1529403001,10:10,31
262,27,1529403002,10:10,31
263,27,1529403003,10:10,31
264,27,1529403004,10:10,31
265,25,1529403005,10:10,31
266,25,1529403006,10:10,31
267,25,1529403007,10:10,31
268,25,1529403008,10:10,31
269,25,1529403009,10:10,31
270,25,1529403010,10:10,31
271,25,1529403011,10:10,31
272,25,1529403012,10:10,31
