segundo,calculo,timestamp,hora_minuto
213,16,1516185910,10:45
214,20,1516185911,10:45
215,20,1516185912,10:45
216,17,1516185913,10:45
217,16,1516185914,10:45
218,15,1516185915,10:45
219,14,1516185916,10:45
220,14,1516185917,10:45
221,19,1516185918,10:45
222,19,1516185919,10:45
223,19,1516185920,10:45
224,15,1516185921,10:45
225,15,1516185922,10:45
226,15,1516185923,10:45
227,15,1516185924,10:45
228,15,1516185925,10:45
229,15,1516185926,10:45
230,15,1516185927,10:45
231,10,1516185928,10:45
232,10,1516185929,10:45
233,10,1516185930,10:45
234,10,1516185931,10:45
235,10,1516185932,10:45
236,10,1516185933,10:45
237,10,1516185934,10:45
238,10,1516185935,10:45
239,12,1516185936,10:45
240,12,1516185937,10:45
241,13,1516185938,10:45
242,14,1516185939,10:45
243,18,1516185940,10:45
244,18,1516185941,10:45
245,19,1516185942,10:45
246,21,1516185943,10:45
247,20,1516185944,10:45
248,20,1516185945,10:45
249,21,1516185946,10:45
250,23,1516185947,10:45
251,23,1516185948,10:45
252,26,1516185949,10:45
253,21,1516185950,10:45
254,21,1516185951,10:45
255,20,1516185952,10:45
256,18,1516185953,10:45
257,18,1516185954,10:45
258,19,1516185955,10:45
259,17,1516185956,10:45
260,15,1516185957,10:45
261,15,1516185958,10:45
262,12,1516185959,10:45
263,13,1516185960,10:46
264,13,1516185961,10:46
265,18,1516185962,10:46
266,18,1516185963,10:46
267,18,1516185964,10:46
268,17,1516185965,10:46
269,19,1516185966,10:46
270,23,1516185967,10:46
271,22,1516185968,10:46
272,21,1516185969,10:46
273,24,1516185970,10:46
274,24,1516185971,10:46
275,20,1516185972,10:46
276,20,1516185973,10:46
277,21,1516185974,10:46
278,22,1516185975,10:46
279,20,1516185976,10:46
280,16,1516185977,10:46
281,16,1516185978,10:46
282,17,1516185979,10:46
283,13,1516185980,10:46
284,14,1516185981,10:46
285,14,1516185982,10:46
286,14,1516185983,10:46
287,14,1516185984,10:46
288,16,1516185985,10:46
289,16,1516185986,10:46
290,18,1516185987,10:46
291,18,1516185988,10:46
292,19,1516185989,10:46
293,19,1516185990,10:46
294,18,1516185991,10:46
295,17,1516185992,10:46
296,17,1516185993,10:46
297,17,1516185994,10:46
298,15,1516185995,10:46
299,17,1516185996,10:46
300,16,1516185997,10:46
301,16,1516185998,10:46
302,15,1516185999,10:46
303,15,1516186000,10:46
304,15,1516186001,10:46
305,15,1516186002,10:46
306,14,1516186003,10:46
307,14,1516186004,10:46
308,14,1516186005,10:46
309,15,1516186006,10:46
310,16,1516186007,10:46
311,15,1516186008,10:46
312,16,1516186009,10:46
313,18,1516186010,10:46
314,19,1516186011,10:46
315,18,1516186012,10:46
316,19,1516186013,10:46
317,19,1516186014,10:46
318,19,1516186015,10:46
319,20,1516186016,10:46
320,22,1516186017,10:46
321,23,1516186018,10:46
322,22,1516186019,10:46
323,20,1516186020,10:47
324,23,1516186021,10:47
325,23,1516186022,10:47
326,24,1516186023,10:47
327,25,1516186024,10:47
328,26,1516186025,10:47
329,27,1516186026,10:47
330,25,1516186027,10:47
331,24,1516186028,10:47
332,25,1516186029,10:47
333,25,1516186030,10:47
334,21,1516186031,10:47
335,21,1516186032,10:47
336,22,1516186033,10:47
337,21,1516186034,10:47
338,26,1516186035,10:47
339,24,1516186036,10:47
340,24,1516186037,10:47
341,24,1516186038,10:47
342,24,1516186039,10:47
343,24,1516186040,10:47
344,24,1516186041,10:47
345,24,1516186042,10:47
346,22,1516186043,10:47
347,23,1516186044,10:47
348,17,1516186045,10:47
349,17,1516186046,10:47
350,16,1516186047,10:47
351,16,1516186048,10:47
352,17,1516186049,10:47
353,18,1516186050,10:47
354,19,1516186051,10:47
355,19,1516186052,10:47
356,18,1516186053,10:47
357,17,1516186054,10:47
358,17,1516186055,10:47
359,17,1516186056,10:47
360,17,1516186057,10:47
361,18,1516186058,10:47
362,17,1516186059,10:47
363,16,1516186060,10:47
364,15,1516186061,10:47
365,15,1516186062,10:47
366,14,1516186063,10:47
367,14,1516186064,10:47
368,14,1516186065,10:47
369,15,1516186066,10:47
370,15,1516186067,10:47
371,14,1516186068,10:47
372,15,1516186069,10:47
373,15,1516186070,10:47
374,18,1516186071,10:47
375,18,1516186072,10:47
376,18,1516186073,10:47
377,18,1516186074,10:47
378,17,1516186075,10:47
379,17,1516186076,10:47
380,17,1516186077,10:47
381,21,1516186078,10:47
382,20,1516186079,10:47
383,20,1516186080,10:48
384,16,1516186081,10:48
385,17,1516186082,10:48
386,17,1516186083,10:48
387,16,1516186084,10:48
388,16,1516186085,10:48
389,16,1516186086,10:48
390,17,1516186087,10:48
391,14,1516186088,10:48
392,13,1516186089,10:48
393,13,1516186090,10:48
394,14,1516186091,10:48
395,13,1516186092,10:48
396,17,1516186093,10:48
397,17,1516186094,10:48
398,17,1516186095,10:48
399,17,1516186096,10:48
400,16,1516186097,10:48
401,15,1516186098,10:48
402,15,1516186099,10:48
